Year,Revenue,Profit Before Tax,Sole Trader Tax,Sole Trader Net,Ltd Company Tax,Ltd Net Personal,Ltd Retained,Hybrid Tax,Hybrid Net
1,160416,115195,34558,80637,29044,74351,11800,27549,87646
2,223828,168037,54213,113824,44438,106999,16600,42416,125621
3,309920,240524,82610,157914,69619,149105,21800,64597,175927
4,393711,311225,109243,201982,92037,192588,26600,85015,226210
5,476300,380985,134856,246129,113435,238150,29400,104893,276092
